source_id,source_name,source_category,dataset_name,business_purpose,asset_classes,products_or_regions,system_owner,business_owner,vendor_or_origin,golden_source,fallback_source,update_frequency,delivery_pattern,latency_requirement,retention_requirement,storage_pattern,schema_owner,quality_checks,reconciliation_method,usage_scope,criticality,license_type,license_restrictions,entitlements_required,cost_model,sensitivity_class,availability_slo,incident_runbook,monitoring_metrics,lineage_notes,last_reviewed_at,status
mktdata_multiasset_rt,Multi-Asset Real-Time Market Data,market_data,Normalized top-of-book and trade feed,"pricing; signal generation; execution","equities; futures; options; fx",North America and global listed venues,Market Data Platform,Trading,Exchange direct feeds + market data vendors,exchange_direct_feeds,consolidated_vendor_feed,real_time,streaming,<100ms,"7 years raw; 2 years hot","Kafka -> S3 raw -> ClickHouse curated",Data Platform,"gap checks; stale symbol checks; timestamp ordering; spread sanity",Compare vendor snapshots and official closes,"OMS; EMS; research; risk; PnL",tier_0,Commercial market data agreement,"No external redistribution; derived data allowed per contract",yes,"monthly fixed + usage",internal_confidential,99.95% during trading hours,runbooks/market-data/multi-asset-realtime.md,"feed lag; message rate; stale tick count; gap rate","Normalized symbology and venue codes",2026-03-10,active
mktdata_multiasset_hist,Multi-Asset Historical Market Data,market_data,Tick and bar history,"backtesting; model training; TCA","equities; futures; options; fx",North America and global listed venues,Data Platform,Research,Market data vendors + internal archive,internal_market_data_archive,vendor_bulk_history,daily,batch_job,<4 hours after session close,"7 years curated; 7 years raw","S3 raw -> Parquet lake -> warehouse marts",Data Platform,"row count checks; duplicate detection; corporate action adjustment audits",Compare with official exchange volumes and prior loads,"research; analytics; surveillance",tier_1,Commercial market data agreement,"Research use only for some datasets",yes,"annual subscription",internal_confidential,99.9%,runbooks/market-data/historical-loads.md,"load completion; late partitions; checksum failures","Corporate-action-adjusted derived bars",2026-03-10,active
refdata_instrument_master,Instrument Master,reference_data,Canonical instrument and contract definitions,"identifier normalization; joins; lifecycle management",all,Global,Reference Data Platform,Enterprise Operations,Internal golden source + vendor reference master,internal_security_master,vendor_security_master,near_real_time,api_pull,<5 minutes for updates,"Life of instrument + 7 years","Postgres golden tables -> warehouse snapshots",Reference Data,"primary key integrity; effective-date overlap checks; symbology uniqueness",Compare against exchange reference files and vendor master,"OMS; risk; settlement; reporting; research",tier_0,Internal + vendor reference agreement,"No redistribution of vendor mappings",yes,"enterprise license",internal_confidential,99.95%,runbooks/reference-data/instrument-master.md,"update lag; failed mappings; duplicate IDs","Maps internal IDs to exchange, ISIN, CUSIP, FIGI where licensed",2026-03-10,active
refdata_exchange_calendars,Exchange and Settlement Calendars,reference_data,Trading sessions and holidays,"session logic; scheduling; settlement date calculation","equities; futures; options; fx; commodities",Global,Reference Data Platform,Operations,Exchanges + CCPs + internal calendar service,internal_calendar_service,exchange_published_calendars,daily,api_pull,<1 day baseline; urgent intraday override,"Current year + 10 years forward","Postgres -> cached service -> warehouse snapshot",Reference Data,"holiday overlap checks; session ordering; DST validation",Compare against exchange notices and settlement results,"OMS; risk; settlement; scheduling",tier_0,Public terms + internal compilation,"Internal service only",no,internal build,internal_confidential,99.95%,runbooks/reference-data/calendars.md,"cache age; missing calendars; override count","Standardizes venue sessions and settlement conventions",2026-03-10,active
refdata_corporate_actions,Corporate Actions,reference_data,Dividends splits mergers symbol changes,"position adjustment; backtest correctness; valuation","equities; etfs; convertibles",Global listed securities,Reference Data Platform,Equities Trading,Corporate actions vendor + custodians,vendor_corporate_actions,custodian_announcements,event_driven,api_pull,"same day before market open; intraday for urgent events","7 years","S3 raw -> Postgres validated -> warehouse curated",Reference Data,"action completeness; effective-date checks; ratio validation",Compare with custodian statements and official exchange bulletins,"research; risk; PnL; operations",tier_1,Commercial reference data agreement,"Restricted redistribution",yes,annual subscription,internal_confidential,99.9%,runbooks/reference-data/corporate-actions.md,"missed event count; pending validations; stale symbols","Adjusted price history derived downstream",2026-03-10,active
refdata_books,Trading Books and Portfolios,reference_data,Book and portfolio master,"trade capture validation; reporting hierarchy; limits",all,Enterprise,Reference Data Platform,Trading Operations,Internal operational reference data,internal_book_master,none,daily,api_pull,<15 minutes for changes,"Life of record + 7 years","Postgres operational tables -> warehouse dimension",Reference Data,"unique code checks; active dependency validation",Reconcile against position books and general ledger mappings,"trading UI; risk; reporting; settlement",tier_0,Internal,Internal only,no,internal build,internal_confidential,99.95%,runbooks/reference-data/books.md,"API errors; inactive-selection attempts; change backlog","Maintained in app by operations",2026-03-10,active
refdata_commodities,Commodity Master,reference_data,Commodity and commodity class hierarchy,"trade validation; exposure aggregation; pricing joins","commodities; power; gas; refined products",North America and global commodities,Reference Data Platform,Commodities Trading,Internal operational reference data,internal_commodity_master,none,daily,api_pull,<15 minutes for changes,"Life of record + 7 years","Postgres operational tables -> warehouse dimension",Reference Data,"hierarchy integrity; active status checks; code uniqueness",Compare against active trades and price index coverage,"trade capture; pricing; risk; reporting",tier_0,Internal,Internal only,no,internal build,internal_confidential,99.95%,runbooks/reference-data/commodities.md,"missing parent links; invalid selections; change failure rate","Supports commodity class rollups",2026-03-10,active
refdata_units,Units of Measure,reference_data,Unit and conversion reference data,"quantity normalization; valuation; scheduling","commodities; power; gas; liquids",Enterprise,Reference Data Platform,Risk and Operations,Internal operational reference data,internal_unit_master,none,daily,api_pull,<15 minutes for changes,"Life of record + 7 years","Postgres operational tables -> warehouse dimension",Reference Data,"conversion cycle detection; precision checks; active dependency validation",Reconcile conversion outputs in risk and pricing reports,"trade capture; risk; pricing; settlement",tier_1,Internal,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/units.md,"invalid conversions; missing base units; update failures","Curated conversion factors only; no dynamic FX-style rates",2026-03-10,active
refdata_currencies,Currency Master,reference_data,ISO currency and minor unit reference,"pricing; settlement; reporting","fx; cross-border commodities; multi-asset",Global,Reference Data Platform,Treasury,Internal operational reference data,internal_currency_master,iso_currency_reference,daily,api_pull,<1 day,"Life of record + 7 years","Postgres -> warehouse dimension",Reference Data,"ISO code validation; duplicate checks",Compare against payment rails and bank account setups,"trade capture; settlement; finance; reporting",tier_1,Internal + public reference,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/currencies.md,"missing codes; stale updates","Extended with internal display and accounting metadata",2026-03-10,active
refdata_counterparties,Counterparty Master,reference_data,Counterparty legal and settlement profile,"trade capture; credit controls; settlement","otc commodities; fx; cleared and bilateral products",Enterprise,Reference Data Platform,Operations and Credit,Internal CRM + legal entity maintenance,internal_counterparty_master,erp_customer_vendor_master,daily,api_pull,<30 minutes for operational changes,"Life of relationship + 7 years","Postgres operational tables -> warehouse dimensions",Reference Data,"duplicate legal entity checks; settlement instruction completeness",Reconcile against executed trades and settlement instructions,"trade capture; credit; settlement; compliance",tier_0,Internal,Contains sensitive relationship data,yes,internal build,restricted_confidential,99.95%,runbooks/reference-data/counterparties.md,"missing SSI; inactive counterparty selections; sync lag","Links to legal entities and agreement metadata",2026-03-10,active
