source_id,source_name,source_category,dataset_name,business_purpose,asset_classes,products_or_regions,system_owner,business_owner,vendor_or_origin,golden_source,fallback_source,update_frequency,delivery_pattern,latency_requirement,retention_requirement,storage_pattern,schema_owner,quality_checks,reconciliation_method,usage_scope,criticality,license_type,license_restrictions,entitlements_required,cost_model,sensitivity_class,availability_slo,incident_runbook,monitoring_metrics,lineage_notes,last_reviewed_at,status
refdata_books,Trading Books and Portfolios,reference_data,Book and portfolio master,trade capture validation; reporting hierarchy; limits,all,Enterprise,Reference Data Platform,Trading Operations,Internal operational reference data,internal_book_master,none,daily,api_pull,<15 minutes for changes,Life of record + 7 years,Postgres operational tables -> warehouse dimension,Reference Data,unique code checks; active dependency validation,Reconcile against position books and general ledger mappings,trading UI; risk; reporting; settlement,tier_0,Internal,Internal only,no,internal build,internal_confidential,99.95%,runbooks/reference-data/books.md,API errors; inactive-selection attempts; change backlog,Maintained in app by operations,2026-03-10,active
refdata_commodities,Commodity Master,reference_data,Commodity and commodity class hierarchy,trade validation; exposure aggregation; pricing joins,commodities; power; gas; refined products,North America and global commodities,Reference Data Platform,Commodities Trading,Internal operational reference data,internal_commodity_master,none,daily,api_pull,<15 minutes for changes,Life of record + 7 years,Postgres operational tables -> warehouse dimension,Reference Data,hierarchy integrity; active status checks; code uniqueness,Compare against active trades and price index coverage,trade capture; pricing; risk; reporting,tier_0,Internal,Internal only,no,internal build,internal_confidential,99.95%,runbooks/reference-data/commodities.md,missing parent links; invalid selections; change failure rate,Supports commodity class rollups,2026-03-10,active
refdata_units,Units of Measure,reference_data,Unit and conversion reference data,quantity normalization; valuation; scheduling,commodities; power; gas; liquids,Enterprise,Reference Data Platform,Risk and Operations,Internal operational reference data,internal_unit_master,none,daily,api_pull,<15 minutes for changes,Life of record + 7 years,Postgres operational tables -> warehouse dimension,Reference Data,conversion cycle detection; precision checks; active dependency validation,Reconcile conversion outputs in risk and pricing reports,trade capture; risk; pricing; settlement,tier_1,Internal,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/units.md,invalid conversions; missing base units; update failures,Curated conversion factors only; no dynamic FX-style rates,2026-03-10,active
refdata_currencies,Currency Master,reference_data,ISO currency and minor unit reference,pricing; settlement; reporting,fx; cross-border commodities; multi-asset,Global,Reference Data Platform,Treasury,Internal operational reference data,internal_currency_master,iso_currency_reference,daily,api_pull,<1 day,Life of record + 7 years,Postgres -> warehouse dimension,Reference Data,ISO code validation; duplicate checks,Compare against payment rails and bank account setups,trade capture; settlement; finance; reporting,tier_1,Internal + public reference,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/currencies.md,missing codes; stale updates,Extended with internal display and accounting metadata,2026-03-10,active
refdata_counterparties,Counterparty Master,reference_data,Counterparty legal and settlement profile,trade capture; credit controls; settlement,otc commodities; fx; cleared and bilateral products,Enterprise,Reference Data Platform,Operations and Credit,Internal CRM + legal entity maintenance,internal_counterparty_master,erp_customer_vendor_master,daily,api_pull,<30 minutes for operational changes,Life of relationship + 7 years,Postgres operational tables -> warehouse dimensions,Reference Data,duplicate legal entity checks; settlement instruction completeness,Reconcile against executed trades and settlement instructions,trade capture; credit; settlement; compliance,tier_0,Internal,Contains sensitive relationship data,yes,internal build,restricted_confidential,99.95%,runbooks/reference-data/counterparties.md,missing SSI; inactive counterparty selections; sync lag,Links to legal entities and agreement metadata,2026-03-10,active
refdata_locations,Location Master,reference_data,Physical and pricing location reference,delivery terms; logistics; pricing basis,power; gas; oil; refined products; agriculture,North America,Reference Data Platform,Operations,Internal operational reference data,internal_location_master,none,daily,api_pull,<30 minutes for operational changes,Life of record + 7 years,Postgres -> warehouse dimension,Reference Data,location code uniqueness; timezone validation; hierarchy checks,Compare against contracts schedules and nomination data,trade capture; operations; pricing; logistics,tier_1,Internal,Internal only,no,internal build,internal_confidential,99.9%,runbooks/reference-data/locations.md,invalid timezone count; orphan locations; update failures,"Supports hub, pipeline, storage, and plant location types",2026-03-10,active
refdata_price_indices,Price Index Master,reference_data,External and internal price index definitions,index-linked pricing; marks; settlement,oil; refined products; gas; power; dry bulk,North America and global commodities,Reference Data Platform,Pricing and Risk,Internal operational reference data + vendor metadata,internal_price_index_master,vendor_index_reference,daily,api_pull,<1 hour for operational changes,Life of index + 7 years,Postgres operational tables -> warehouse dimensions,Reference Data,duplicate publication codes; unit and currency validation,Reconcile against observed price publications,trade capture; pricing; risk; settlement,tier_0,Internal + licensed vendor metadata,Index metadata redistribution may be restricted,yes,enterprise license,internal_confidential,99.95%,runbooks/reference-data/price-indices.md,unmapped indices; stale metadata; failed validations,Canonical layer for linking observations to trades,2026-03-10,active
marketdata_price_indices_obs,External Price Index Observations,market_data,Published commodity index observations,marking; settlement; exposure valuation,oil; refined products; gas; power,North America and global commodities,Reference Data Platform,Pricing and Risk,Publishers + internal loaders,published_index_observation_feed,manual_override_or_secondary_vendor,daily,api_pull,<2 hours from publication,7 years raw and curated,Raw landing tables -> validated relational store -> warehouse fact,Data Platform,range checks; duplicate publication detection; holiday completeness,Compare with official publications and settlement marks,pricing; risk; settlement; finance,tier_0,Commercial index agreement,No redistribution of raw observations,yes,subscription + per dataset,internal_confidential,99.95%,runbooks/market-data/price-index-observations.md,missing publishes; late loads; value anomalies,"Normalized by unit, currency, and location mappings",2026-03-10,active
ops_positions_balances,Positions and Balances,positions,Internal books and records positions cash and margin,"risk; pnl; funding; reconciliation",all,Enterprise,Operations Platform,Operations,Internal books and broker statements,internal_books_and_records,broker_and_custodian_statements,intraday,database_replication,"<5 minutes intraday; EOD final by close+2h","7 years online and archive","Operational DB -> warehouse snapshots -> finance marts",Finance Data,"position sign checks; cash balance completeness; account mapping validation",Reconcile against broker statements custodians and CCPs,"risk; pnl; settlement; finance; reporting",tier_0,Internal,Contains account-sensitive data,yes,internal build,restricted_confidential,99.95%,runbooks/operations/positions-balances.md,"snapshot age; unreconciled breaks; missing accounts","Derived from event-sourced trades plus external confirms",2026-03-10,active
ops_clearing_settlement,Clearing and Settlement Status,positions,CCP obligations settlement instructions and delivery notices,settlement readiness; fail prevention; collateral management,futures; options; cleared swaps; physical commodities,North America and global,Operations Platform,Settlement,CCPs custodians and brokers,ccp_and_custodian_feeds,manual_ops_override,intraday,api_pull,<15 minutes intraday,7 years,Relational ops store -> warehouse ops mart,Operations Data,instruction completeness; settlement date validation; delivery notice uniqueness,Reconcile against custodians CCP portals and cash movements,settlement; treasury; operations; finance,tier_0,Commercial clearing agreements,Restricted to approved operations users,yes,connectivity + service fees,restricted_confidential,99.9%,runbooks/operations/clearing-settlement.md,failed pulls; pending obligations; break count,Enriched with account and counterparty master data,2026-03-10,active
